Stepsize	ClusterID	Top n% cluster	Chromosome	Start bp	End bp	Physical size bp	Number of genes	Number of Hypothetical genes	number of Enzymes	Start Gene	End Gene	Gene IDs
3	C594	1	scaffold_11	973957	998611	24655	5	0	4	fgenesh1_pm.11_#_66	estExt_Genemark1.C_110173	fgenesh1_pm.11_#_66, estExt_Genewise1Plus.C_110203, estExt_Genewise1.C_110207, estExt_Genemark1.C_110172, estExt_Genemark1.C_110173
3	C597	1	scaffold_11	1212986	1261780	48795	8	0	5	estExt_fgenesh1_pg.C_110180	estExt_fgenesh1_pg.C_110186	estExt_fgenesh1_pg.C_110180, Genemark1.5434_g, Genemark1.5435_g, gw1.11.350.1, estExt_fgenesh1_pg.C_110183, Genemark1.5438_g, fgenesh1_pg.11_#_185, estExt_fgenesh1_pg.C_110186
3	C601	1	scaffold_12	885926	907675	21750	7	0	6	fgenesh1_pm.12_#_59	estExt_fgenesh1_pm.C_120062	fgenesh1_pm.12_#_59, estExt_Genemark1.C_120164, estExt_Genemark1.C_120165, Genemark1.5715_g, estExt_Genewise1Plus.C_120140, fgenesh1_pg.12_#_134, estExt_fgenesh1_pm.C_120062
3	C606	1	scaffold_12	1535178	1607109	71932	18	0	11	estExt_fgenesh1_pm.C_120118	fgenesh1_pm.12_#_129	estExt_fgenesh1_pm.C_120118, estExt_fgenesh1_pg.C_120236, Genemark1.5854_g, estExt_fgenesh1_pm.C_120119, estExt_Genemark1.C_120307, e_gw1.12.254.1, gw1.12.454.1, estExt_fgenesh1_pm.C_120121, e_gw1.12.74.1, Genemark1.5860_g, fgenesh1_pm.12_#_124, fgenesh1_kg.12_#_91_#_0_0_CBOZ2145.b1_CBOZ_CBPA, fgenesh1_kg.12_#_92_#_5124_0_CBOZ9797.g1_CBOZ_CBPA, gw1.12.180.1, Genemark1.5862_g, fgenesh1_kg.12_#_94_#_4003_1_CBOZ_CBPA, estExt_fgenesh1_pg.C_120247, fgenesh1_pm.12_#_129
3	C607	1	scaffold_12	1647277	1670674	23398	8	0	5	e_gw1.12.399.1	fgenesh1_pm.12_#_140	e_gw1.12.399.1, e_gw1.12.193.1, estExt_fgenesh1_pm.C_120136, e_gw1.12.425.1, estExt_fgenesh1_pg.C_120257, e_gw1.12.368.1, estExt_Genewise1Plus.C_120322, fgenesh1_pm.12_#_140
3	C608	1	scaffold_12	1713281	1732052	18772	5	0	4	e_gw1.12.250.1	e_gw1.12.139.1	e_gw1.12.250.1, fgenesh1_pm.12_#_144, fgenesh1_pm.12_#_145, e_gw1.12.334.1, e_gw1.12.139.1
3	C609	1	scaffold_12	1755687	1785286	29600	7	0	5	estExt_Genewise1.C_120353	estExt_Genewise1Plus.C_120363	estExt_Genewise1.C_120353, fgenesh1_pg.12_#_278, e_gw1.12.401.1, e_gw1.12.366.1, e_gw1.12.261.1, estExt_Genemark1.C_120354, estExt_Genewise1Plus.C_120363
3	C611	1	scaffold_13	212451	272085	59635	11	0	7	fgenesh1_pg.13_#_30	estExt_Genemark1.C_130050	fgenesh1_pg.13_#_30, estExt_fgenesh1_pm.C_130018, estExt_Genewise1Plus.C_130040, Genemark1.5975_g, estExt_Genemark1.C_130045, Genemark1.5977_g, e_gw1.13.168.1, fgenesh1_kg.13_#_14_#_3460_1_CBOZ_CBPA, Genemark1.5979_g, Genemark1.5980_g, estExt_Genemark1.C_130050
3	C612	1	scaffold_13	322995	456433	133439	18	0	10	estExt_Genemark1.C_130059	estExt_Genemark1.C_130077	estExt_Genemark1.C_130059, estExt_fgenesh1_pg.C_130046, estExt_Genewise1Plus.C_130052, estExt_fgenesh1_pg.C_130047, estExt_Genewise1Plus.C_130056, e_gw1.13.223.1, fgenesh1_pg.13_#_49, fgenesh1_pg.13_#_50, Genemark1.5998_g, e_gw1.13.54.1, fgenesh1_pg.13_#_52, estExt_fgenesh1_pg.C_130053, fgenesh1_pm.13_#_28, gw1.13.221.1, e_gw1.13.206.1, estExt_Genewise1Plus.C_130077, estExt_Genemark1.C_130076, estExt_Genemark1.C_130077
3	C614	1	scaffold_13	679738	697278	17541	5	0	4	fgenesh1_pm.13_#_55	fgenesh1_pg.13_#_99	fgenesh1_pm.13_#_55, estExt_fgenesh1_pg.C_130097, estExt_Genewise1.C_130134, estExt_Genewise1Plus.C_130138, fgenesh1_pg.13_#_99
3	C615	1	scaffold_13	750512	774381	23870	6	0	5	estExt_fgenesh1_pm.C_130062	fgenesh1_pg.13_#_111	estExt_fgenesh1_pm.C_130062, estExt_Genemark1.C_130135, estExt_Genewise1Plus.C_130148, Genemark1.6068_g, Genemark1.6069_g, fgenesh1_pg.13_#_111
3	C617	1	scaffold_13	1019707	1030288	10582	4	0	3	e_gw1.13.279.1	estExt_Genewise1Plus.C_130229	e_gw1.13.279.1, estExt_fgenesh1_pg.C_130150, fgenesh1_kg.13_#_67_#_0_0_CBOZ4423.b1_CBOZ_CBPA, estExt_Genewise1Plus.C_130229
3	C618	1	scaffold_13	1185560	1234359	48800	11	0	6	e_gw1.13.174.1	fgenesh1_pg.13_#_173	e_gw1.13.174.1, fgenesh1_pm.13_#_100, Genemark1.6146_g, estExt_fgenesh1_pm.C_130097, Genemark1.6147_g, Genemark1.6148_g, e_gw1.13.119.1, estExt_fgenesh1_pg.C_130168, estExt_Genemark1.C_130220, estExt_Genewise1Plus.C_130281, fgenesh1_pg.13_#_173
3	C619	1	scaffold_13	1367394	1499814	132421	15	0	8	estExt_fgenesh1_pg.C_130189	Genemark1.6188_g	estExt_fgenesh1_pg.C_130189, estExt_fgenesh1_pg.C_130190, fgenesh1_kg.13_#_84_#_1999_0_CBOZ2229.b1_CBOZ_CBPA, estExt_fgenesh1_pm.C_130115, Genemark1.6179_g, Genemark1.6180_g, Genemark1.6181_g, estExt_Genemark1.C_130251, fgenesh1_pg.13_#_196, estExt_Genewise1Plus.C_130311, fgenesh1_kg.13_#_87_#_3446_1_CBOZ_CBPA, fgenesh1_pm.13_#_121, Genemark1.6186_g, Genemark1.6187_g, Genemark1.6188_g
3	C624	1	scaffold_14	581158	652136	70979	14	0	9	Genemark1.6324_g	estExt_fgenesh1_pg.C_140083	Genemark1.6324_g, estExt_fgenesh1_pm.C_140042, estExt_fgenesh1_pg.C_140072, Genemark1.6327_g, estExt_fgenesh1_pg.C_140074, fgenesh1_kg.14_#_28_#_1753_1_CBOZ_CBPA, fgenesh1_kg.14_#_29_#_2210_1_CBOZ_CBPA, Genemark1.6331_g, Genemark1.6332_g, estExt_Genemark1.C_140109, Genemark1.6334_g, estExt_Genemark1.C_140111, Genemark1.6336_g, estExt_fgenesh1_pg.C_140083
3	C625	1	scaffold_14	810455	881828	71374	11	0	6	estExt_Genemark1.C_140148	estExt_Genemark1.C_140157	estExt_Genemark1.C_140148, fgenesh1_kg.14_#_48_#_2065_1_CBOZ_CBPA, Genemark1.6374_g, estExt_Genemark1.C_140151, Genemark1.6376_g, fgenesh1_pg.14_#_117, e_gw1.14.378.1, Genemark1.6378_g, Genemark1.6379_g, estExt_Genemark1.C_140156, estExt_Genemark1.C_140157
3	C626	1	scaffold_14	1015265	1038662	23398	7	0	5	estExt_Genewise1Plus.C_140138	estExt_fgenesh1_pg.C_140138	estExt_Genewise1Plus.C_140138, e_gw1.14.337.1, fgenesh1_kg.14_#_59_#_3681_1_CBOZ_CBPA, estExt_Genemark1.C_140182, e_gw1.14.375.1, estExt_Genewise1.C_140146, estExt_fgenesh1_pg.C_140138
3	C627	1	scaffold_14	1054719	1070453	15735	4	0	3	fgenesh1_pm.14_#_86	estExt_Genewise1.C_140160	fgenesh1_pm.14_#_86, e_gw1.14.228.1, fgenesh1_kg.14_#_64_#_4427_0_CBOZ1276.b1_CBOZ_CBPA, estExt_Genewise1.C_140160
3	C628	1	scaffold_14	1222162	1308216	86055	18	0	9	e_gw1.14.332.1	fgenesh1_pg.14_#_184	e_gw1.14.332.1, e_gw1.14.380.1, fgenesh1_pm.14_#_102, fgenesh1_pg.14_#_172, estExt_fgenesh1_pg.C_140171, e_gw1.14.272.1, Genemark1.6452_g, fgenesh1_kg.14_#_76_#_4811_0_CBOZ5490.g1_CBOZ_CBPA, fgenesh1_pm.14_#_105, fgenesh1_pg.14_#_178, gw1.14.79.1, Genemark1.6457_g, fgenesh1_pg.14_#_180, fgenesh1_pm.14_#_106, estExt_Genewise1Plus.C_140226, estExt_fgenesh1_pg.C_140180, e_gw1.14.351.1, fgenesh1_pg.14_#_184
3	C631	1	scaffold_14	1524958	1540372	15415	5	0	4	estExt_Genemark1.C_140298	fgenesh1_pm.14_#_152	estExt_Genemark1.C_140298, estExt_fgenesh1_pm.C_140145, e_gw1.14.364.1, e_gw1.14.209.1, fgenesh1_pm.14_#_152
3	C632	1	scaffold_14	1559952	1570310	10359	4	0	3	estExt_fgenesh1_pm.C_140151	estExt_fgenesh1_pm.C_140154	estExt_fgenesh1_pm.C_140151, fgenesh1_pm.14_#_156, fgenesh1_pm.14_#_157, estExt_fgenesh1_pm.C_140154
3	C634	1	scaffold_15	567876	728309	160434	35	0	16	fgenesh1_pm.15_#_37	fgenesh1_pm.15_#_53	fgenesh1_pm.15_#_37, Genemark1.6635_g, Genemark1.6636_g, estExt_Genemark1.C_150102, Genemark1.6638_g, fgenesh1_pg.15_#_81, fgenesh1_pg.15_#_82, fgenesh1_kg.15_#_26_#_186_1_CBOZ_CBPA, e_gw1.15.217.1, Genemark1.6643_g, estExt_Genemark1.C_150109, estExt_fgenesh1_pg.C_150085, fgenesh1_kg.15_#_28_#_5121_0_CBOZ9739.g1_CBOZ_CBPA, fgenesh1_pm.15_#_41, estExt_fgenesh1_pm.C_150042, estExt_Genewise1.C_150096, estExt_fgenesh1_pg.C_150089, Genemark1.6650_g, gw1.15.99.1, fgenesh1_kg.15_#_31_#_1448_1_CBOZ_CBPA, fgenesh1_pg.15_#_93, fgenesh1_pm.15_#_47, fgenesh1_kg.15_#_32_#_3709_0_CBOZ3775.g1_CBOZ_CBPA, estExt_fgenesh1_pg.C_150094, gw1.15.276.1, estExt_Genemark1.C_150123, fgenesh1_kg.15_#_33_#_4673_0_CBOZ4151.g1_CBOZ_CBPA, e_gw1.15.241.1, estExt_fgenesh1_pg.C_150098, fgenesh1_pg.15_#_100, estExt_Genewise1Plus.C_150122, fgenesh1_pg.15_#_103, Genemark1.6663_g, fgenesh1_pg.15_#_104, fgenesh1_pm.15_#_53
3	C635	1	scaffold_15	754216	810465	56250	12	0	7	Genemark1.6670_g	Genemark1.6681_g	Genemark1.6670_g, estExt_fgenesh1_pm.C_150055, estExt_fgenesh1_pg.C_150108, e_gw1.15.161.1, Genemark1.6674_g, estExt_fgenesh1_pg.C_150110, estExt_fgenesh1_pg.C_150111, fgenesh1_pg.15_#_113, fgenesh1_kg.15_#_39_#_1917_1_CBOZ_CBPA, estExt_fgenesh1_pm.C_150057, estExt_Genemark1.C_150145, Genemark1.6681_g
3	C637	1	scaffold_15	1110916	1179235	68320	13	0	8	fgenesh1_pm.15_#_81	estExt_fgenesh1_pg.C_150170	fgenesh1_pm.15_#_81, e_gw1.15.149.1, estExt_fgenesh1_pm.C_150082, estExt_Genemark1.C_150208, Genemark1.6744_g, Genemark1.6745_g, fgenesh1_pm.15_#_83, e_gw1.15.77.1, e_gw1.15.72.1, estExt_fgenesh1_pm.C_150087, estExt_fgenesh1_pm.C_150088, Genemark1.6750_g, estExt_fgenesh1_pg.C_150170
3	C644	1	scaffold_16	459307	495153	35847	7	0	5	estExt_Genewise1Plus.C_160092	estExt_Genemark1.C_160086	estExt_Genewise1Plus.C_160092, estExt_fgenesh1_pg.C_160068, Genemark1.6877_g, estExt_Genemark1.C_160083, estExt_Genewise1.C_160096, fgenesh1_pg.16_#_72, estExt_Genemark1.C_160086
3	C646	1	scaffold_16	935667	958134	22468	8	0	5	estExt_fgenesh1_pm.C_160075	estExt_fgenesh1_pm.C_160082	estExt_fgenesh1_pm.C_160075, e_gw1.16.208.1, estExt_fgenesh1_pm.C_160078, Genemark1.6975_g, estExt_Genemark1.C_160181, e_gw1.16.323.1, e_gw1.16.295.1, estExt_fgenesh1_pm.C_160082
3	C647	1	scaffold_16	1016722	1053925	37204	8	0	6	estExt_fgenesh1_pg.C_160153	fgenesh1_pg.16_#_160	estExt_fgenesh1_pg.C_160153, Genemark1.6992_g, Genemark1.6993_g, fgenesh1_pg.16_#_157, estExt_Genewise1.C_160215, estExt_fgenesh1_pg.C_160156, fgenesh1_pg.16_#_159, fgenesh1_pg.16_#_160
3	C649	1	scaffold_16	1187204	1199241	12038	4	0	3	estExt_Genewise1.C_160263	estExt_Genewise1Plus.C_160272	estExt_Genewise1.C_160263, e_gw1.16.57.1, gw1.16.374.1, estExt_Genewise1Plus.C_160272
3	C652	1	scaffold_17	8944	27629	18686	3	0	3	estExt_Genewise1Plus.C_170006	estExt_Genewise1.C_170012	estExt_Genewise1Plus.C_170006, e_gw1.17.39.1, estExt_Genewise1.C_170012
3	C653	1	scaffold_17	534254	552876	18623	3	0	3	estExt_Genemark1.C_170090	estExt_Genemark1.C_170092	estExt_Genemark1.C_170090, estExt_Genemark1.C_170091, estExt_Genemark1.C_170092
3	C654	1	scaffold_17	706296	902093	195798	12	0	7	fgenesh1_pg.17_#_90	Genemark1.7210_g	fgenesh1_pg.17_#_90, fgenesh1_pg.17_#_91, fgenesh1_pg.17_#_92, gw1.17.81.1, Genemark1.7202_g, fgenesh1_pg.17_#_94, Genemark1.7204_g, fgenesh1_pg.17_#_95, Genemark1.7207_g, Genemark1.7208_g, fgenesh1_kg.17_#_26_#_0_0_CBOZ7351.b1_CBOZ_CBPA, Genemark1.7210_g
3	C656	1	scaffold_17	1186668	1260757	74090	12	0	7	fgenesh1_pm.17_#_55	estExt_Genemark1.C_170185	fgenesh1_pm.17_#_55, estExt_Genemark1.C_170176, fgenesh1_pm.17_#_57, Genemark1.7259_g, e_gw1.17.95.1, fgenesh1_pg.17_#_137, estExt_fgenesh1_pm.C_170056, Genemark1.7263_g, Genemark1.7264_g, fgenesh1_pg.17_#_139, fgenesh1_pm.17_#_59, estExt_Genemark1.C_170185
3	C657	1	scaffold_17	1303702	1312848	9147	3	0	3	estExt_Genewise1.C_170156	e_gw1.17.84.1	estExt_Genewise1.C_170156, estExt_fgenesh1_pm.C_170066, e_gw1.17.84.1
3	C658	1	scaffold_18	46219	58263	12045	3	0	3	fgenesh1_pm.18_#_4	estExt_fgenesh1_pm.C_180006	fgenesh1_pm.18_#_4, fgenesh1_pm.18_#_5, estExt_fgenesh1_pm.C_180006
3	C659	1	scaffold_18	341261	360487	19227	5	0	5	fgenesh1_pg.18_#_45	Genemark1.7362_g	fgenesh1_pg.18_#_45, estExt_fgenesh1_pg.C_180045, estExt_Genewise1Plus.C_180055, Genemark1.7361_g, Genemark1.7362_g
3	C665	1	scaffold_18	1046698	1176259	129562	34	0	18	e_gw1.18.283.1	fgenesh1_pg.18_#_188	e_gw1.18.283.1, fgenesh1_pm.18_#_97, Genemark1.7498_g, fgenesh1_pm.18_#_99, estExt_fgenesh1_pm.C_180097, estExt_Genewise1Plus.C_180224, fgenesh1_pg.18_#_165, fgenesh1_kg.18_#_69_#_4338_1_CBOZ_CBPA, fgenesh1_pg.18_#_167, estExt_Genewise1Plus.C_180229, fgenesh1_pg.18_#_169, estExt_fgenesh1_pg.C_180166, e_gw1.18.14.1, estExt_fgenesh1_pg.C_180168, estExt_fgenesh1_pg.C_180169, e_gw1.18.117.1, estExt_fgenesh1_pm.C_180103, fgenesh1_pg.18_#_176, Genemark1.7513_g, estExt_Genewise1Plus.C_180238, fgenesh1_kg.18_#_72_#_4827_0_CBOZ559.g1_CBOZ_CBPA, fgenesh1_pg.18_#_179, estExt_fgenesh1_pg.C_180176, fgenesh1_kg.18_#_74_#_494_1_CBOZ_CBPA, e_gw1.18.130.1, fgenesh1_kg.18_#_75_#_495_1_CBOZ_CBPA, estExt_fgenesh1_pm.C_180109, Genemark1.7520_g, Genemark1.7521_g, fgenesh1_pm.18_#_114, Genemark1.7523_g, estExt_fgenesh1_pm.C_180112, estExt_fgenesh1_pm.C_180113, fgenesh1_pg.18_#_188
3	C666	1	scaffold_18	1261845	1356207	94363	19	0	9	e_gw1.18.208.1	gw1.18.108.1	e_gw1.18.208.1, estExt_Genemark1.C_180255, Genemark1.7549_g, Genemark1.7550_g, estExt_Genemark1.C_180259, estExt_fgenesh1_pg.C_180202, fgenesh1_pg.18_#_208, estExt_Genemark1.C_180261, estExt_fgenesh1_pg.C_180206, estExt_fgenesh1_pm.C_180122, Genemark1.7557_g, e_gw1.18.142.1, Genemark1.7559_g, gw1.18.27.1, estExt_Genewise1Plus.C_180290, fgenesh1_pg.18_#_216, estExt_Genemark1.C_180270, Genemark1.7564_g, gw1.18.108.1
3	C667	1	scaffold_19	214046	281338	67293	12	0	6	estExt_Genemark1.C_190037	estExt_Genewise1Plus.C_190058	estExt_Genemark1.C_190037, estExt_Genewise1Plus.C_190043, gw1.19.336.1, estExt_fgenesh1_pg.C_190026, estExt_fgenesh1_pg.C_190027, Genemark1.7613_g, Genemark1.7614_g, e_gw1.19.263.1, e_gw1.19.28.1, e_gw1.19.138.1, estExt_Genemark1.C_190046, estExt_Genewise1Plus.C_190058
3	C668	1	scaffold_19	500861	600348	99488	18	0	11	Genemark1.7656_g	estExt_Genewise1Plus.C_190110	Genemark1.7656_g, fgenesh1_pg.19_#_68, fgenesh1_pg.19_#_69, estExt_fgenesh1_pm.C_190037, estExt_fgenesh1_pg.C_190066, Genemark1.7661_g, estExt_Genewise1.C_190089, fgenesh1_pg.19_#_73, fgenesh1_pg.19_#_74, e_gw1.19.118.1, e_gw1.19.242.1, estExt_fgenesh1_pm.C_190043, estExt_fgenesh1_pm.C_190044, estExt_Genemark1.C_190098, fgenesh1_pg.19_#_79, e_gw1.19.93.1, e_gw1.19.127.1, estExt_Genewise1Plus.C_190110
3	C669	1	scaffold_19	667430	684878	17449	4	0	3	fgenesh1_pm.19_#_53	estExt_fgenesh1_pm.C_190054	fgenesh1_pm.19_#_53, estExt_fgenesh1_pg.C_190087, Genemark1.7686_g, estExt_fgenesh1_pm.C_190054
3	C672	1	scaffold_19	1138137	1150274	12138	4	0	3	estExt_Genewise1.C_190240	e_gw1.19.317.1	estExt_Genewise1.C_190240, e_gw1.19.227.1, estExt_Genewise1Plus.C_190243, e_gw1.19.317.1
3	C675	1	scaffold_2	201444	312750	111307	8	0	5	e_gw1.2.20.1	e_gw1.2.210.1	e_gw1.2.20.1, fgenesh1_kg.2_#_12_#_749_1_CBOZ_CBPA, e_gw1.2.766.1, Genemark1.788_g, fgenesh1_pg.2_#_32, e_gw1.2.22.1, e_gw1.2.2.1, e_gw1.2.210.1
3	C676	1	scaffold_2	328851	353147	24297	4	0	3	fgenesh1_pm.2_#_24	fgenesh1_pg.2_#_40	fgenesh1_pm.2_#_24, estExt_Genewise1Plus.C_20081, Genemark1.798_g, fgenesh1_pg.2_#_40
3	C679	1	scaffold_2	587241	691302	104062	14	0	7	Genemark1.839_g	estExt_fgenesh1_pg.C_20075	Genemark1.839_g, Genemark1.840_g, gw1.2.562.1, estExt_Genemark1.C_20097, estExt_Genewise1Plus.C_20133, estExt_Genewise1Plus.C_20135, estExt_Genemark1.C_20100, Genemark1.846_g, fgenesh1_pg.2_#_76, Genemark1.848_g, Genemark1.849_g, fgenesh1_kg.2_#_30_#_0_0_CBPA3533.b1_CBOZ_CBPA, fgenesh1_pg.2_#_79, estExt_fgenesh1_pg.C_20075
3	C680	1	scaffold_2	849941	896250	46310	11	0	6	Genemark1.879_g	fgenesh1_pg.2_#_112	Genemark1.879_g, estExt_Genemark1.C_20135, gw1.2.206.1, gw1.2.101.1, estExt_Genemark1.C_20138, estExt_fgenesh1_pg.C_20101, e_gw1.2.276.1, fgenesh1_pm.2_#_63, estExt_Genemark1.C_20142, estExt_Genewise1.C_20172, fgenesh1_pg.2_#_112
