Gene_Name	Gene_Start__bp_	Gene_End__bp_	Chromosome_Name	Strand	Enzyme	EC	RXN	Locally Duplicated	LD_ClusterIds	Stepsize 3, Top 5%	Amines and Polyamines Metabolism	Amino Acids Metabolism	Carbohydrates Metabolism	Cofactors Metabolism	Detoxification Metabolism	Energy Metabolism	Fatty Acids and Lipids Metabolism	Hormones Metabolism	Inorganic Nutrients Metabolism	Nitrogen-Containing Compounds	Nucleotides Metabolism	Phenylpropanoid Derivatives	Polyketides	Primary-Specialized Interface Metabolism	Redox Metabolism	Specialized Metabolism	Sugar Derivatives	Terpenoids	Signature Tailoring Enzyme Class	Signature or Tailoring
estExt_Genemark1.C_10010	42785	45559	scaffold_1	-1	0			0	MCL_3686		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.11_g	45991	53024	scaffold_1	1	0			0	MCL_6130		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
e_gw1.1.605.1	54711	56635	scaffold_1	1	1	EC-1.3.1.26, EC-1.17.1.8	DIHYDROPICRED-RXN, RXN-14014	0	MCL_7035		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.14_g	66285	67666	scaffold_1	1	1	EC-6.3.4.10, EC-6.3.4.9, EC-6.3.4.11, EC-6.3.4.15	6.3.4.10-RXN, 6.3.4.9-RXN, 6.3.4.11-RXN, BIOTINLIG-RXN	0	MCL_7117		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pm.1_#_9	68034	70923	scaffold_1	-1	0			0	MCL_507		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.17_g	74165	75776	scaffold_1	-1	0			0	MCL_3669		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.18_g	77059	78598	scaffold_1	1	1	EC-6.3.4.10, EC-6.3.4.9, EC-6.3.4.11, EC-6.3.4.15	6.3.4.10-RXN, 6.3.4.9-RXN, 6.3.4.11-RXN, BIOTINLIG-RXN	0	MCL_827		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pm.C_10009	78913	80395	scaffold_1	-1	0			0	MCL_3672		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
e_gw1.1.256.1	80685	84388	scaffold_1	1	0			0	MCL_215		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pm.C_10011	84668	88681	scaffold_1	-1	1	EC-2.5.1.85	RXN-11486	0	MCL_3795		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genemark1.C_10021	89121	91717	scaffold_1	1	0			0	MCL_7001		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.22_g	92705	98867	scaffold_1	-1	0			0	MCL_3322		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genewise1Plus.C_10032	99309	102270	scaffold_1	1	0			0	MCL_3123		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pg.1_#_20	102848	116275	scaffold_1	-1	0			0	MCL_68		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.25_g	117900	123223	scaffold_1	1	0			0	MCL_7062		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.26_g	124357	125160	scaffold_1	1	0			0	MCL_1051		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.27_g	126070	126663	scaffold_1	-1	0			0	MCL_3206		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pg.C_10022	131663	140472	scaffold_1	-1	0			0	MCL_160		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pg.C_10023	140747	146087	scaffold_1	1	0			0	MCL_658		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_kg.1_#_8_#_3240_0_CBOZ4651.g1_CBOZ_CBPA	146466	147243	scaffold_1	1	0			0	MCL_2994		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.30_g	147552	149810	scaffold_1	-1	0			0	MCL_3841		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pm.1_#_16	152291	157571	scaffold_1	1	1	EC-2.4.1.21	GLYCOGENSYN-RXN	0	MCL_1722		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	glycosyltransferase	tailoring
fgenesh1_pg.1_#_25	159411	161552	scaffold_1	-1	0			0	MCL_4498		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genewise1Plus.C_10038	162546	164617	scaffold_1	-1	0			0	MCL_1250		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
e_gw1.1.511.1	165446	168415	scaffold_1	1	1	EC-5.3.1.13	DARAB5PISOM-RXN	0	MCL_929		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
fgenesh1_pg.1_#_28	171501	174934	scaffold_1	-1	0			0	MCL_2470		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pm.C_10018	175937	177129	scaffold_1	1	0			0	MCL_6948		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pg.1_#_29	178912	193705	scaffold_1	-1	0			0	MCL_3748		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.38_g	196568	198286	scaffold_1	1	0			0	MCL_731		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
e_gw1.1.614.1	198836	200635	scaffold_1	-1	0			0	MCL_1173		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.40_g	200664	201439	scaffold_1	-1	0			0	MCL_1371		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genewise1Plus.C_10044	201710	204367	scaffold_1	1	0			0	MCL_4556		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pm.C_10020	204590	207130	scaffold_1	1	0			0	MCL_6648		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_kg.1_#_13_#_5055_0_CBOZ7846.g1_CBOZ_CBPA	211180	211898	scaffold_1	-1	0			0	MCL_7403		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_kg.1_#_14_#_4538_0_CBOZ2507.b1_CBOZ_CBPA	217656	218596	scaffold_1	-1	0			0	MCL_571		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pg.C_10032	219064	224396	scaffold_1	1	0			0	MCL_1602		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pg.C_10033	224694	226683	scaffold_1	-1	0			0	MCL_6987		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pg.1_#_34	228197	232707	scaffold_1	1	0			0	MCL_2136		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_kg.1_#_15_#_2503_1_CBOZ_CBPA	233400	234223	scaffold_1	-1	0			0	MCL_5909		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pg.1_#_35	236800	238728	scaffold_1	1	0			0	MCL_2708		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.47_g	240546	241004	scaffold_1	-1	0			0	MCL_7384		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.48_g	243134	244259	scaffold_1	1	0			0	MCL_3159		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.49_g	246943	251716	scaffold_1	-1	0			0	MCL_50		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pg.C_10037	252835	256712	scaffold_1	1	0			0	MCL_6221		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pm.C_10023	258579	259906	scaffold_1	-1	0			0	MCL_2119		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.51_g	261082	265763	scaffold_1	1	0			0	MCL_7378		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.52_g	266981	268378	scaffold_1	-1	0			0	MCL_3691		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
e_gw1.1.351.1	271245	275710	scaffold_1	1	1	EC-3.6.3.46	3.6.3.46-RXN	0	MCL_475		0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
estExt_fgenesh1_pm.C_10024	277138	279979	scaffold_1	1	0			0	MCL_560		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.56_g	280731	281754	scaffold_1	1	0			0	MCL_4662		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.57_g	283759	287042	scaffold_1	-1	0			0	MCL_158		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pm.C_10025	287850	291636	scaffold_1	-1	0			0	MCL_158		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pm.1_#_27	293529	298842	scaffold_1	-1	0			0	MCL_899		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_kg.1_#_18_#_1966_1_CBOZ_CBPA	299855	302402	scaffold_1	-1	0			0	MCL_3484		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pg.C_10045	302583	309712	scaffold_1	1	0			0	MCL_4427		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_kg.1_#_19_#_4263_0_CBOZ7579.g1_CBOZ_CBPA	309831	310332	scaffold_1	-1	0			0	MCL_7119		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
e_gw1.1.286.1	312547	316901	scaffold_1	1	1	EC-3.1.3.2	ACID-PHOSPHATASE-RXN	0	MCL_1756		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
e_gw1.1.644.1	318612	319943	scaffold_1	-1	0			0	MCL_7161		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pg.C_10048	320358	327474	scaffold_1	1	0			0	MCL_2645		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pg.1_#_49	331228	334255	scaffold_1	-1	0			0	MCL_1396		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pg.1_#_50	338842	349124	scaffold_1	-1	0			0	MCL_1112		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.68_g	350968	351826	scaffold_1	-1	0			0	MCL_1157		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pg.1_#_51	353058	356197	scaffold_1	1	0			0	MCL_227		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pg.1_#_52	357896	364793	scaffold_1	-1	0			0	MCL_1396		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.71_g	365425	366303	scaffold_1	1	0			0	MCL_1157		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pg.1_#_53	367348	368149	scaffold_1	-1	0			0	MCL_2653		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genemark1.C_10073	371299	392667	scaffold_1	1	0			0	MCL_2653		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
e_gw1.1.617.1	395391	397283	scaffold_1	1	0			0	MCL_6652		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.75_g	397613	401146	scaffold_1	-1	0			0	MCL_303		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.76_g	401860	402422	scaffold_1	1	0			0	MCL_7413		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pg.1_#_57	405016	411524	scaffold_1	-1	0			0	MCL_1958		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.79_g	413219	415923	scaffold_1	-1	1	EC-3.4.19	RXN0-3241	0	MCL_1150		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pm.C_10027	417086	419980	scaffold_1	-1	0			0	MCL_1464		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pg.C_10059	421756	424951	scaffold_1	1	0			0	MCL_2637		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genewise1Plus.C_10067	428845	435543	scaffold_1	-1	1	EC-2.4.1.82	2.4.1.82-RXN	0	MCL_3109		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	glycosyltransferase	tailoring
Genemark1.83_g	437124	441307	scaffold_1	1	0			0	MCL_7260		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.84_g	441341	442987	scaffold_1	-1	0			0	MCL_6212		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genemark1.C_10085	444693	464589	scaffold_1	1	0			0	MCL_893		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.86_g	465047	467024	scaffold_1	-1	0			0	MCL_7132		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genewise1.C_10072	467379	469240	scaffold_1	-1	0			0	MCL_1425		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.88_g	469579	470908	scaffold_1	1	0			0	MCL_7086		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.89_g	471918	472890	scaffold_1	-1	0			0	MCL_1961		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.90_g	473224	474915	scaffold_1	1	0			0	MCL_1867		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.91_g	476407	479837	scaffold_1	-1	0			0	MCL_532		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
e_gw1.1.689.1	480428	481464	scaffold_1	1	0			0	MCL_732		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genemark1.C_10093	481925	483699	scaffold_1	-1	0			0	MCL_3170		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genewise1.C_10078	483854	493696	scaffold_1	1	1	EC-3.2.1.20	MALTODEXGLUCOSID-RXN	0	MCL_1405		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.95_g	494027	497922	scaffold_1	-1	0			0	MCL_1038		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pg.1_#_73	500610	522350	scaffold_1	-1	0			0	MCL_989		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
e_gw1.1.631.1	524118	526322	scaffold_1	-1	0			0	MCL_3581		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genewise1Plus.C_10081	527391	533620	scaffold_1	1	1	EC-1.1.1.54, EC-1.3.1.102	ALLYL-ALCOHOL-DEHYDROGENASE-RXN, RXN-14535	0	MCL_538		0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0		
estExt_Genewise1Plus.C_10083	534011	535630	scaffold_1	1	0			0	MCL_324		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pm.C_10032	537132	539212	scaffold_1	1	0			0	MCL_1541		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pg.C_10077	539968	544897	scaffold_1	-1	0			0	MCL_172		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genemark1.C_10102	545939	549390	scaffold_1	1	0			0	MCL_158		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.103_g	550704	551910	scaffold_1	1	1	EC-2.7.1.158	RXN-7163	0	MCL_4880		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		
Genemark1.104_g	552250	554355	scaffold_1	-1	0			0	MCL_237		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genemark1.C_10105	555157	560983	scaffold_1	-1	0			0	MCL_975		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genewise1Plus.C_10091	561555	568740	scaffold_1	1	0			0	MCL_96		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pm.C_10036	571729	575130	scaffold_1	1	1	EC-2.5.1.32	RXN-13323, 2.5.1.32-RXN, RXNARA-8002	0	MCL_1661		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	TPS	signature
estExt_fgenesh1_pg.C_10082	577387	587534	scaffold_1	1	1	EC-1.2.99.6, EC-1.2.1.30	CARBOXYLATE-REDUCTASE-RXN, ARYL-ALDEHYDE-DEHYDROGENASE-NADP+-RXN	0	MCL_40		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pm.C_10037	588567	590843	scaffold_1	-1	0			0	MCL_1199		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pm.C_10038	591923	593230	scaffold_1	1	0			0	MCL_6989		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pm.C_10039	595273	596509	scaffold_1	1	1	EC-1.9.3.1	CYTOCHROME-C-OXIDASE-RXN	0	MCL_7176		0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0		
fgenesh1_pg.1_#_85	596593	602382	scaffold_1	-1	0			0	MCL_2058		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.113_g	604386	608649	scaffold_1	-1	0			0	MCL_1149		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.114_g	609936	615006	scaffold_1	1	0			0	MCL_7041		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pm.C_10040	615447	620180	scaffold_1	-1	0			0	MCL_3799		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.116_g	622002	633153	scaffold_1	1	0			0	MCL_1524		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genewise1Plus.C_10104	636784	640746	scaffold_1	1	1	EC-2.6.1.6, EC-2.6.1.42	BRANCHED-CHAINAMINOTRANSFERLEU-RXN	0	MCL_1441		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
e_gw1.1.496.1	641373	644034	scaffold_1	1	1	EC-1.1.1	RXN-14769	0	MCL_2093		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
Genemark1.118_g	644376	646790	scaffold_1	-1	0			0	MCL_100		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pm.1_#_45	650999	656004	scaffold_1	1	0			0	MCL_158		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genemark1.C_10120	656486	659600	scaffold_1	-1	0			0	MCL_890		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_kg.1_#_31_#_3291_1_CBOZ_CBPA	659762	662830	scaffold_1	1	0			0	MCL_3356		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pg.1_#_95	664017	667620	scaffold_1	-1	1	EC-2.4.1	RXN3O-663	0	MCL_3656		0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	glycosyltransferase	tailoring
estExt_fgenesh1_pg.C_10096	670967	677139	scaffold_1	-1	0			0	MCL_160		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genemark1.C_10125	678603	687822	scaffold_1	1	0			0	MCL_414		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_kg.1_#_32_#_2470_1_CBOZ_CBPA	689086	690060	scaffold_1	1	0			0	MCL_1418		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pm.1_#_47	690760	695557	scaffold_1	1	0			0	MCL_1986		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genemark1.C_10127	696150	696859	scaffold_1	1	0			0	MCL_7323		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.128_g	697121	702314	scaffold_1	-1	0			0	MCL_6269		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.129_g	703034	718790	scaffold_1	-1	0			0	MCL_280		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.130_g	720267	726614	scaffold_1	1	0			0	MCL_5385		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genemark1.C_10131	730780	734506	scaffold_1	-1	0			0	MCL_1914		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.132_g	735182	737730	scaffold_1	1	0			0	MCL_5067		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pm.1_#_49	738724	739530	scaffold_1	-1	0			0	MCL_1481		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_kg.1_#_35_#_4634_0_CBOZ3669.g1_CBOZ_CBPA	740141	742308	scaffold_1	-1	0			0	MCL_6944		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genemark1.C_10134	760160	761521	scaffold_1	1	0			0	MCL_7307		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_kg.1_#_37_#_855_0_CBOZ1572.g1_CBOZ_CBPA	761892	762966	scaffold_1	1	0			0	MCL_7243		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genemark1.C_10136	764533	773049	scaffold_1	1	1	EC-1.1.1.179, EC-1.3.1.20	D-XYLOSE-1-DEHYDROGENASE-NADP+-RXN, 1.3.1.20-RXN	0	MCL_1110		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0		
e_gw1.1.84.1	775034	781917	scaffold_1	-1	0			0	MCL_2695		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genemark1.C_10138	784367	788413	scaffold_1	-1	0			0	MCL_7032		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pm.C_10049	788547	792845	scaffold_1	-1	0			0	MCL_7293		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.140_g	793206	795693	scaffold_1	1	0			0	MCL_2866		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genewise1.C_10120	798149	809579	scaffold_1	1	0			0	MCL_317		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_kg.1_#_41_#_1726_1_CBOZ_CBPA	816445	818239	scaffold_1	1	0			0	MCL_1765		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.144_g	818479	818996	scaffold_1	-1	0			0	MCL_1576		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genemark1.C_10145	822140	829453	scaffold_1	-1	0			0	MCL_1329		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
e_gw1.1.89.1	835403	841498	scaffold_1	1	1	EC-4.2.99.20, EC-2.2.1.9, EC-4.2.1.113	RXN-9310, 2.5.1.64-RXN, O-SUCCINYLBENZOATE-COA-SYN-RXN	0	MCL_2647		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0		
estExt_fgenesh1_pg.C_10109	846971	849754	scaffold_1	1	0			0	MCL_992		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pg.C_10110	850744	855848	scaffold_1	-1	0			0	MCL_3018		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pg.C_10111	856058	867959	scaffold_1	1	0			0	MCL_110		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pg.1_#_112	868676	874497	scaffold_1	-1	0			0	MCL_1996		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_fgenesh1_pg.C_10113	875487	879097	scaffold_1	-1	0			0	MCL_3385		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
