Gene Name	Transcript Name	Protein Name
e_gw1.1.525.1	11573	11573
e_gw1.1.534.1	11577	11577
e_gw1.1.173.1	11586	11586
e_gw1.1.673.1	11591	11591
e_gw1.1.20.1	11603	11603
e_gw1.1.219.1	11605	11605
e_gw1.1.279.1	11622	11622
e_gw1.1.286.1	11624	11624
e_gw1.1.753.1	11629	11629
e_gw1.1.790.1	11631	11631
e_gw1.1.644.1	11640	11640
e_gw1.1.614.1	11654	11654
e_gw1.1.642.1	11684	11684
e_gw1.1.190.1	11696	11696
e_gw1.1.769.1	11703	11703
e_gw1.1.480.1	11707	11707
e_gw1.1.689.1	11717	11717
e_gw1.1.747.1	11728	11728
e_gw1.1.546.1	11742	11742
e_gw1.1.764.1	11745	11745
e_gw1.2.752.1	11749	11749
e_gw1.2.366.1	11750	11750
e_gw1.2.290.1	11753	11753
e_gw1.2.764.1	11765	11765
e_gw1.2.501.1	11790	11790
e_gw1.2.215.1	11792	11792
e_gw1.2.571.1	11799	11799
e_gw1.2.440.1	11826	11826
e_gw1.2.797.1	11831	11831
e_gw1.2.720.1	11832	11832
e_gw1.2.359.1	11833	11833
e_gw1.2.433.1	11840	11840
e_gw1.2.116.1	11853	11853
e_gw1.2.656.1	11872	11872
e_gw1.2.283.1	11877	11877
gw1.2.101.1	1188	1188
e_gw1.2.553.1	11883	11883
e_gw1.2.135.1	11897	11897
e_gw1.2.138.1	11899	11899
e_gw1.2.379.1	11918	11918
gw1.4.105.1	1195	1195
e_gw1.2.93.1	11964	11964
e_gw1.2.321.1	11965	11965
e_gw1.2.437.1	11967	11967
e_gw1.2.799.1	11972	11972
e_gw1.2.603.1	11974	11974
e_gw1.2.289.1	11988	11988
e_gw1.2.57.1	11995	11995
e_gw1.2.383.1	12008	12008
e_gw1.2.490.1	12011	12011
e_gw1.2.49.1	12044	12044
e_gw1.2.231.1	12072	12072
e_gw1.2.482.1	12077	12077
e_gw1.2.88.1	12079	12079
e_gw1.2.491.1	12080	12080
e_gw1.2.386.1	12084	12084
e_gw1.2.160.1	12091	12091
e_gw1.2.153.1	12097	12097
e_gw1.2.90.1	12098	12098
e_gw1.2.695.1	12101	12101
e_gw1.2.408.1	12117	12117
e_gw1.2.213.1	12119	12119
e_gw1.2.455.1	12124	12124
e_gw1.2.729.1	12125	12125
e_gw1.2.527.1	12150	12150
e_gw1.2.471.1	12164	12164
e_gw1.2.626.1	12171	12171
e_gw1.2.636.1	12173	12173
e_gw1.2.225.1	12177	12177
e_gw1.2.169.1	12193	12193
e_gw1.2.766.1	12194	12194
e_gw1.2.387.1	12196	12196
e_gw1.2.532.1	12206	12206
e_gw1.2.531.1	12218	12218
e_gw1.2.22.1	12244	12244
e_gw1.2.580.1	12245	12245
e_gw1.2.769.1	12248	12248
e_gw1.2.31.1	12255	12255
gw1.18.27.1	1226	1226
e_gw1.2.280.1	12268	12268
e_gw1.2.728.1	12278	12278
e_gw1.2.667.1	12315	12315
e_gw1.2.248.1	12331	12331
e_gw1.2.124.1	12339	12339
e_gw1.2.564.1	12357	12357
e_gw1.2.463.1	12361	12361
e_gw1.2.378.1	12364	12364
e_gw1.2.427.1	12373	12373
e_gw1.2.2.1	12377	12377
e_gw1.2.613.1	12381	12381
e_gw1.2.222.1	12396	12396
e_gw1.2.325.1	12402	12402
e_gw1.2.801.1	12403	12403
e_gw1.2.390.1	12409	12409
e_gw1.2.737.1	12421	12421
e_gw1.2.65.1	12423	12423
e_gw1.2.660.1	12443	12443
e_gw1.2.276.1	12444	12444
e_gw1.2.210.1	12451	12451
e_gw1.2.584.1	12452	12452
e_gw1.2.629.1	12455	12455
e_gw1.2.310.1	12466	12466
e_gw1.2.416.1	12468	12468
e_gw1.2.643.1	12481	12481
e_gw1.2.451.1	12486	12486
e_gw1.2.214.1	12490	12490
e_gw1.2.436.1	12493	12493
e_gw1.2.275.1	12504	12504
e_gw1.2.20.1	12506	12506
e_gw1.2.493.1	12515	12515
e_gw1.2.341.1	12516	12516
e_gw1.3.650.1	12541	12541
gw1.1.125.1	1256	1256
e_gw1.3.477.1	12561	12561
e_gw1.3.159.1	12562	12562
e_gw1.3.444.1	12575	12575
e_gw1.3.204.1	12582	12582
e_gw1.3.516.1	12587	12587
e_gw1.3.402.1	12590	12590
e_gw1.3.667.1	12599	12599
e_gw1.3.416.1	12621	12621
e_gw1.3.87.1	12631	12631
e_gw1.3.38.1	12638	12638
e_gw1.3.482.1	12647	12647
e_gw1.3.480.1	12651	12651
e_gw1.3.359.1	12655	12655
e_gw1.3.115.1	12656	12656
e_gw1.3.369.1	12672	12672
e_gw1.3.421.1	12682	12682
e_gw1.3.273.1	12683	12683
e_gw1.3.414.1	12692	12692
e_gw1.3.468.1	12693	12693
e_gw1.3.524.1	12698	12698
e_gw1.3.8.1	12706	12706
e_gw1.3.167.1	12711	12711
e_gw1.3.555.1	12723	12723
e_gw1.3.23.1	12729	12729
e_gw1.3.1.1	12734	12734
e_gw1.3.81.1	12736	12736
e_gw1.3.376.1	12737	12737
e_gw1.3.449.1	12759	12759
e_gw1.3.36.1	12762	12762
e_gw1.3.453.1	12782	12782
e_gw1.3.241.1	12786	12786
e_gw1.3.13.1	12787	12787
e_gw1.3.338.1	12792	12792
e_gw1.3.56.1	12800	12800
e_gw1.3.680.1	12839	12839
e_gw1.3.260.1	12842	12842
e_gw1.3.647.1	12863	12863
e_gw1.3.278.1	12868	12868
e_gw1.3.215.1	12871	12871
e_gw1.3.629.1	12888	12888
e_gw1.3.429.1	12892	12892
e_gw1.3.171.1	12893	12893
e_gw1.3.530.1	12896	12896
e_gw1.3.640.1	12907	12907
e_gw1.3.550.1	12908	12908
e_gw1.3.272.1	12942	12942
e_gw1.3.391.1	12946	12946
e_gw1.3.114.1	12949	12949
e_gw1.3.360.1	12960	12960
e_gw1.3.176.1	12961	12961
e_gw1.3.79.1	12966	12966
e_gw1.3.627.1	12975	12975
e_gw1.3.616.1	13000	13000
e_gw1.3.439.1	13002	13002
e_gw1.3.474.1	13028	13028
e_gw1.3.459.1	13055	13055
e_gw1.3.357.1	13056	13056
e_gw1.3.98.1	13058	13058
e_gw1.3.21.1	13072	13072
e_gw1.3.200.1	13074	13074
e_gw1.3.582.1	13090	13090
e_gw1.3.511.1	13100	13100
e_gw1.3.436.1	13105	13105
e_gw1.3.387.1	13112	13112
e_gw1.3.60.1	13116	13116
e_gw1.3.249.1	13120	13120
e_gw1.3.297.1	13139	13139
e_gw1.3.76.1	13147	13147
e_gw1.3.106.1	13172	13172
e_gw1.3.645.1	13180	13180
e_gw1.4.318.1	13191	13191
e_gw1.4.193.1	13194	13194
e_gw1.4.830.1	13198	13198
e_gw1.4.321.1	13201	13201
e_gw1.4.425.1	13206	13206
e_gw1.4.423.1	13222	13222
e_gw1.4.620.1	13233	13233
e_gw1.4.482.1	13265	13265
e_gw1.4.557.1	13274	13274
e_gw1.4.290.1	13297	13297
e_gw1.4.704.1	13329	13329
e_gw1.4.192.1	13338	13338
e_gw1.4.575.1	13339	13339
e_gw1.4.453.1	13342	13342
e_gw1.4.696.1	13347	13347
e_gw1.4.664.1	13349	13349
e_gw1.4.433.1	13355	13355
e_gw1.4.840.1	13362	13362
e_gw1.4.467.1	13377	13377
e_gw1.4.304.1	13383	13383
e_gw1.4.444.1	13384	13384
e_gw1.4.141.1	13389	13389
e_gw1.4.466.1	13391	13391
e_gw1.4.221.1	13395	13395
e_gw1.4.489.1	13402	13402
e_gw1.4.127.1	13404	13404
e_gw1.4.398.1	13405	13405
e_gw1.4.537.1	13410	13410
e_gw1.4.705.1	13417	13417
gw1.20.39.1	1342	1342
e_gw1.4.647.1	13424	13424
e_gw1.4.782.1	13438	13438
e_gw1.4.838.1	13439	13439
e_gw1.4.49.1	13445	13445
gw1.4.121.1	1345	1345
e_gw1.4.200.1	13454	13454
e_gw1.4.478.1	13455	13455
gw1.19.51.1	1346	1346
e_gw1.4.753.1	13461	13461
e_gw1.4.238.1	13471	13471
e_gw1.4.17.1	13478	13478
e_gw1.4.242.1	13482	13482
e_gw1.4.842.1	13490	13490
e_gw1.4.567.1	13495	13495
e_gw1.4.432.1	13500	13500
e_gw1.4.792.1	13513	13513
e_gw1.4.585.1	13534	13534
e_gw1.4.143.1	13548	13548
e_gw1.4.497.1	13563	13563
e_gw1.4.731.1	13566	13566
e_gw1.4.602.1	13575	13575
e_gw1.4.725.1	13584	13584
e_gw1.4.743.1	13585	13585
e_gw1.4.253.1	13590	13590
e_gw1.4.750.1	13591	13591
e_gw1.4.214.1	13600	13600
e_gw1.4.79.1	13602	13602
e_gw1.4.144.1	13604	13604
e_gw1.4.483.1	13619	13619
e_gw1.4.204.1	13642	13642
e_gw1.4.797.1	13648	13648
e_gw1.4.458.1	13649	13649
e_gw1.4.180.1	13676	13676
e_gw1.4.122.1	13678	13678
e_gw1.4.155.1	13684	13684
e_gw1.4.24.1	13690	13690
e_gw1.4.406.1	13696	13696
e_gw1.4.94.1	13704	13704
e_gw1.4.184.1	13710	13710
e_gw1.4.89.1	13722	13722
e_gw1.4.499.1	13727	13727
e_gw1.4.744.1	13737	13737
e_gw1.4.457.1	13766	13766
e_gw1.4.252.1	13771	13771
e_gw1.4.454.1	13773	13773
e_gw1.4.599.1	13779	13779
e_gw1.4.665.1	13798	13798
e_gw1.4.468.1	13803	13803
e_gw1.4.291.1	13805	13805
e_gw1.4.91.1	13807	13807
e_gw1.4.18.1	13828	13828
gw1.14.46.1	1385	1385
e_gw1.4.363.1	13851	13851
e_gw1.4.50.1	13852	13852
e_gw1.4.715.1	13859	13859
e_gw1.4.777.1	13870	13870
e_gw1.4.62.1	13878	13878
e_gw1.4.255.1	13879	13879
e_gw1.4.176.1	13888	13888
e_gw1.4.553.1	13889	13889
e_gw1.4.232.1	13916	13916
e_gw1.4.182.1	13921	13921
e_gw1.4.485.1	13932	13932
e_gw1.4.492.1	13947	13947
e_gw1.4.779.1	13954	13954
e_gw1.4.377.1	13957	13957
e_gw1.4.349.1	13968	13968
e_gw1.5.154.1	13997	13997
e_gw1.5.524.1	13998	13998
e_gw1.5.476.1	14019	14019
e_gw1.5.178.1	14021	14021
e_gw1.5.519.1	14026	14026
e_gw1.5.285.1	14028	14028
e_gw1.5.143.1	14036	14036
e_gw1.5.466.1	14037	14037
e_gw1.5.440.1	14039	14039
e_gw1.5.416.1	14062	14062
e_gw1.5.53.1	14063	14063
e_gw1.5.597.1	14065	14065
e_gw1.5.18.1	14080	14080
gw1.21.40.1	1410	1410
e_gw1.5.320.1	14102	14102
e_gw1.5.209.1	14103	14103
e_gw1.5.367.1	14109	14109
e_gw1.5.322.1	14112	14112
e_gw1.5.360.1	14113	14113
e_gw1.5.455.1	14126	14126
e_gw1.5.370.1	14132	14132
e_gw1.5.350.1	14147	14147
e_gw1.5.254.1	14170	14170
e_gw1.5.60.1	14172	14172
e_gw1.5.463.1	14179	14179
e_gw1.5.375.1	14199	14199
e_gw1.5.624.1	14202	14202
e_gw1.5.471.1	14214	14214
e_gw1.5.117.1	14218	14218
e_gw1.5.46.1	14219	14219
e_gw1.5.531.1	14221	14221
e_gw1.5.159.1	14223	14223
e_gw1.5.16.1	14230	14230
e_gw1.5.290.1	14234	14234
e_gw1.5.35.1	14238	14238
e_gw1.5.153.1	14240	14240
e_gw1.5.355.1	14270	14270
e_gw1.5.206.1	14273	14273
e_gw1.5.246.1	14278	14278
e_gw1.5.368.1	14280	14280
e_gw1.5.558.1	14294	14294
e_gw1.5.568.1	14300	14300
e_gw1.5.396.1	14314	14314
e_gw1.5.274.1	14339	14339
e_gw1.5.184.1	14348	14348
e_gw1.5.41.1	14361	14361
e_gw1.5.277.1	14375	14375
e_gw1.5.486.1	14382	14382
e_gw1.5.321.1	14398	14398
e_gw1.5.604.1	14399	14399
e_gw1.5.212.1	14400	14400
e_gw1.5.495.1	14404	14404
e_gw1.5.342.1	14410	14410
e_gw1.5.311.1	14419	14419
gw1.3.80.1	1443	1443
e_gw1.5.426.1	14433	14433
e_gw1.5.103.1	14437	14437
e_gw1.5.532.1	14459	14459
e_gw1.5.525.1	14465	14465
e_gw1.5.181.1	14477	14477
e_gw1.5.379.1	14483	14483
e_gw1.5.146.1	14487	14487
e_gw1.5.611.1	14503	14503
e_gw1.5.602.1	14510	14510
e_gw1.5.480.1	14513	14513
e_gw1.5.259.1	14525	14525
e_gw1.5.386.1	14530	14530
e_gw1.5.49.1	14531	14531
e_gw1.5.236.1	14538	14538
e_gw1.5.100.1	14544	14544
e_gw1.5.601.1	14551	14551
e_gw1.6.126.1	14561	14561
e_gw1.6.246.1	14569	14569
e_gw1.6.122.1	14573	14573
e_gw1.6.329.1	14575	14575
e_gw1.6.123.1	14582	14582
e_gw1.6.130.1	14587	14587
gw1.3.82.1	1459	1459
e_gw1.6.97.1	14592	14592
e_gw1.6.60.1	14593	14593
e_gw1.6.364.1	14594	14594
e_gw1.6.500.1	14599	14599
e_gw1.6.394.1	14600	14600
e_gw1.6.491.1	14606	14606
e_gw1.6.300.1	14612	14612
e_gw1.6.286.1	14634	14634
e_gw1.6.238.1	14650	14650
e_gw1.6.288.1	14657	14657
e_gw1.6.178.1	14666	14666
e_gw1.6.401.1	14671	14671
e_gw1.6.3.1	14688	14688
e_gw1.6.187.1	14690	14690
e_gw1.6.228.1	14707	14707
gw1.26.15.1	1473	1473
e_gw1.6.151.1	14752	14752
e_gw1.6.241.1	14755	14755
e_gw1.6.231.1	14771	14771
e_gw1.6.303.1	14777	14777
e_gw1.6.501.1	14784	14784
e_gw1.6.477.1	14794	14794
e_gw1.6.469.1	14797	14797
e_gw1.6.167.1	14805	14805
e_gw1.6.386.1	14819	14819
e_gw1.6.65.1	14821	14821
e_gw1.6.216.1	14826	14826
e_gw1.6.373.1	14840	14840
e_gw1.6.291.1	14845	14845
e_gw1.6.250.1	14856	14856
e_gw1.6.518.1	14879	14879
e_gw1.6.374.1	14881	14881
e_gw1.6.488.1	14893	14893
e_gw1.6.188.1	14906	14906
e_gw1.6.272.1	14907	14907
e_gw1.6.9.1	14921	14921
e_gw1.6.456.1	14927	14927
e_gw1.6.239.1	14939	14939
e_gw1.6.38.1	14943	14943
e_gw1.6.205.1	14954	14954
e_gw1.6.62.1	14971	14971
e_gw1.6.301.1	14972	14972
e_gw1.6.131.1	14988	14988
e_gw1.6.140.1	14989	14989
e_gw1.6.503.1	14993	14993
e_gw1.6.206.1	15003	15003
e_gw1.6.520.1	15006	15006
e_gw1.6.68.1	15008	15008
e_gw1.6.79.1	15015	15015
e_gw1.6.273.1	15029	15029
e_gw1.6.313.1	15040	15040
e_gw1.6.298.1	15052	15052
e_gw1.6.470.1	15083	15083
e_gw1.7.483.1	15099	15099
e_gw1.7.56.1	15102	15102
e_gw1.7.293.1	15105	15105
e_gw1.7.423.1	15115	15115
e_gw1.7.20.1	15132	15132
e_gw1.7.472.1	15166	15166
e_gw1.7.180.1	15190	15190
e_gw1.7.380.1	15199	15199
e_gw1.7.351.1	15214	15214
e_gw1.7.387.1	15215	15215
e_gw1.7.133.1	15220	15220
e_gw1.7.394.1	15230	15230
e_gw1.7.497.1	15233	15233
e_gw1.7.231.1	15248	15248
e_gw1.7.491.1	15264	15264
e_gw1.7.373.1	15265	15265
e_gw1.7.219.1	15266	15266
e_gw1.7.256.1	15268	15268
e_gw1.7.348.1	15278	15278
e_gw1.7.235.1	15283	15283
e_gw1.7.464.1	15289	15289
e_gw1.7.325.1	15294	15294
e_gw1.7.249.1	15303	15303
e_gw1.7.267.1	15312	15312
e_gw1.7.115.1	15316	15316
e_gw1.7.108.1	15317	15317
e_gw1.7.32.1	15325	15325
e_gw1.7.245.1	15326	15326
e_gw1.7.122.1	15353	15353
e_gw1.7.340.1	15356	15356
e_gw1.7.379.1	15358	15358
e_gw1.7.203.1	15359	15359
e_gw1.7.242.1	15367	15367
e_gw1.7.413.1	15373	15373
e_gw1.7.153.1	15381	15381
e_gw1.7.211.1	15426	15426
e_gw1.7.142.1	15440	15440
e_gw1.7.246.1	15452	15452
e_gw1.7.215.1	15456	15456
e_gw1.7.147.1	15464	15464
e_gw1.7.261.1	15465	15465
e_gw1.7.158.1	15468	15468
e_gw1.7.87.1	15475	15475
e_gw1.7.169.1	15496	15496
gw1.6.63.1	1550	1550
e_gw1.7.258.1	15546	15546
e_gw1.8.288.1	15553	15553
e_gw1.8.466.1	15576	15576
e_gw1.8.4.1	15584	15584
e_gw1.8.3.1	15593	15593
e_gw1.8.284.1	15599	15599
e_gw1.8.383.1	15606	15606
e_gw1.8.91.1	15613	15613
e_gw1.8.343.1	15617	15617
e_gw1.8.422.1	15621	15621
e_gw1.8.258.1	15636	15636
e_gw1.8.97.1	15642	15642
e_gw1.8.311.1	15649	15649
e_gw1.8.269.1	15651	15651
e_gw1.8.96.1	15667	15667
e_gw1.8.189.1	15672	15672
e_gw1.8.175.1	15673	15673
e_gw1.8.86.1	15674	15674
e_gw1.8.246.1	15676	15676
e_gw1.8.161.1	15677	15677
e_gw1.8.125.1	15686	15686
e_gw1.8.451.1	15698	15698
e_gw1.8.357.1	15701	15701
e_gw1.8.407.1	15709	15709
e_gw1.8.319.1	15713	15713
e_gw1.8.52.1	15714	15714
e_gw1.8.402.1	15728	15728
e_gw1.8.443.1	15738	15738
e_gw1.8.216.1	15746	15746
e_gw1.8.203.1	15759	15759
e_gw1.8.266.1	15769	15769
e_gw1.8.107.1	15779	15779
e_gw1.8.408.1	15780	15780
e_gw1.8.36.1	15789	15789
e_gw1.8.275.1	15794	15794
e_gw1.8.404.1	15796	15796
e_gw1.8.293.1	15802	15802
e_gw1.8.101.1	15811	15811
e_gw1.8.396.1	15813	15813
e_gw1.8.344.1	15824	15824
e_gw1.8.243.1	15830	15830
e_gw1.8.409.1	15832	15832
e_gw1.8.371.1	15835	15835
e_gw1.8.415.1	15840	15840
e_gw1.8.417.1	15844	15844
e_gw1.8.452.1	15848	15848
gw1.4.147.1	1587	1587
e_gw1.8.248.1	15875	15875
e_gw1.8.433.1	15884	15884
e_gw1.8.184.1	15889	15889
e_gw1.8.390.1	15898	15898
e_gw1.8.456.1	15911	15911
e_gw1.8.237.1	15913	15913
e_gw1.8.299.1	15915	15915
e_gw1.8.219.1	15921	15921
e_gw1.8.268.1	15931	15931
e_gw1.8.302.1	15932	15932
e_gw1.8.127.1	15978	15978
e_gw1.8.389.1	15983	15983
e_gw1.8.331.1	15989	15989
e_gw1.8.423.1	15998	15998
e_gw1.9.431.1	16012	16012
e_gw1.9.189.1	16019	16019
e_gw1.9.184.1	16025	16025
e_gw1.9.237.1	16037	16037
e_gw1.9.69.1	16047	16047
gw1.4.149.1	1606	1606
e_gw1.9.293.1	16065	16065
e_gw1.9.125.1	16076	16076
e_gw1.9.271.1	16077	16077
e_gw1.9.130.1	16078	16078
e_gw1.9.326.1	16080	16080
e_gw1.9.343.1	16087	16087
e_gw1.9.442.1	16088	16088
e_gw1.9.175.1	16095	16095
e_gw1.9.89.1	16096	16096
e_gw1.9.160.1	16109	16109
e_gw1.9.382.1	16114	16114
e_gw1.9.227.1	16118	16118
e_gw1.9.170.1	16119	16119
e_gw1.9.351.1	16124	16124
e_gw1.9.132.1	16127	16127
e_gw1.9.373.1	16128	16128
e_gw1.9.299.1	16137	16137
e_gw1.9.151.1	16143	16143
e_gw1.9.79.1	16147	16147
e_gw1.9.393.1	16152	16152
e_gw1.9.426.1	16178	16178
e_gw1.9.139.1	16188	16188
e_gw1.9.403.1	16204	16204
e_gw1.9.196.1	16207	16207
e_gw1.9.366.1	16208	16208
e_gw1.9.302.1	16209	16209
e_gw1.9.415.1	16229	16229
e_gw1.9.320.1	16253	16253
e_gw1.9.44.1	16265	16265
e_gw1.9.59.1	16269	16269
e_gw1.9.362.1	16273	16273
e_gw1.9.23.1	16286	16286
e_gw1.9.152.1	16318	16318
e_gw1.9.257.1	16324	16324
e_gw1.9.386.1	16329	16329
gw1.9.70.1	1634	1634
e_gw1.9.325.1	16340	16340
e_gw1.9.56.1	16341	16341
e_gw1.9.267.1	16342	16342
e_gw1.9.200.1	16350	16350
e_gw1.9.419.1	16360	16360
e_gw1.9.440.1	16364	16364
e_gw1.9.236.1	16367	16367
e_gw1.9.199.1	16368	16368
e_gw1.9.353.1	16375	16375
e_gw1.9.340.1	16385	16385
e_gw1.9.8.1	16391	16391
e_gw1.9.63.1	16393	16393
e_gw1.10.366.1	16420	16420
e_gw1.10.46.1	16423	16423
e_gw1.10.367.1	16438	16438
e_gw1.10.438.1	16460	16460
e_gw1.10.216.1	16480	16480
e_gw1.10.485.1	16488	16488
e_gw1.10.200.1	16495	16495
e_gw1.10.419.1	16497	16497
e_gw1.10.126.1	16516	16516
e_gw1.10.32.1	16525	16525
e_gw1.10.88.1	16544	16544
e_gw1.10.410.1	16552	16552
e_gw1.10.325.1	16559	16559
e_gw1.10.474.1	16560	16560
e_gw1.10.348.1	16564	16564
e_gw1.10.445.1	16595	16595
e_gw1.10.352.1	16596	16596
e_gw1.10.341.1	16601	16601
e_gw1.10.323.1	16605	16605
e_gw1.10.386.1	16615	16615
e_gw1.10.468.1	16622	16622
e_gw1.10.288.1	16625	16625
e_gw1.10.297.1	16650	16650
e_gw1.10.145.1	16665	16665
e_gw1.10.313.1	16677	16677
e_gw1.10.24.1	16693	16693
e_gw1.10.308.1	16695	16695
e_gw1.10.2.1	16696	16696
e_gw1.10.11.1	16699	16699
e_gw1.10.55.1	16703	16703
e_gw1.10.247.1	16716	16716
e_gw1.10.481.1	16724	16724
e_gw1.10.385.1	16734	16734
e_gw1.10.331.1	16740	16740
e_gw1.10.257.1	16762	16762
e_gw1.10.179.1	16765	16765
e_gw1.10.450.1	16767	16767
e_gw1.10.309.1	16770	16770
e_gw1.10.111.1	16775	16775
e_gw1.10.144.1	16778	16778
e_gw1.10.414.1	16785	16785
e_gw1.10.56.1	16797	16797
e_gw1.10.12.1	16800	16800
e_gw1.10.302.1	16804	16804
e_gw1.10.118.1	16838	16838
e_gw1.10.115.1	16841	16841
e_gw1.10.174.1	16852	16852
e_gw1.10.206.1	16853	16853
e_gw1.10.10.1	16858	16858
e_gw1.11.152.1	16861	16861
e_gw1.11.412.1	16876	16876
e_gw1.11.106.1	16877	16877
gw1.5.118.1	1688	1688
e_gw1.11.69.1	16892	16892
e_gw1.11.92.1	16894	16894
e_gw1.11.23.1	16904	16904
e_gw1.11.185.1	16908	16908
e_gw1.11.421.1	16935	16935
e_gw1.11.294.1	16944	16944
e_gw1.11.269.1	16953	16953
e_gw1.11.13.1	16964	16964
gw1.5.119.1	1698	1698
e_gw1.11.199.1	16982	16982
e_gw1.11.336.1	16994	16994
e_gw1.11.277.1	17011	17011
e_gw1.11.233.1	17012	17012
e_gw1.11.33.1	17018	17018
e_gw1.11.137.1	17024	17024
e_gw1.11.108.1	17028	17028
e_gw1.11.414.1	17033	17033
e_gw1.11.365.1	17062	17062
e_gw1.11.276.1	17064	17064
e_gw1.11.168.1	17096	17096
e_gw1.11.87.1	17100	17100
e_gw1.11.21.1	17103	17103
e_gw1.11.110.1	17109	17109
e_gw1.11.186.1	17120	17120
e_gw1.11.230.1	17140	17140
e_gw1.11.165.1	17144	17144
e_gw1.11.352.1	17160	17160
e_gw1.11.123.1	17170	17170
e_gw1.11.192.1	17171	17171
e_gw1.11.354.1	17172	17172
e_gw1.11.384.1	17175	17175
e_gw1.11.94.1	17176	17176
e_gw1.11.238.1	17193	17193
e_gw1.11.304.1	17195	17195
e_gw1.11.312.1	17200	17200
e_gw1.11.204.1	17205	17205
e_gw1.11.54.1	17211	17211
e_gw1.11.219.1	17220	17220
e_gw1.11.242.1	17230	17230
e_gw1.11.205.1	17245	17245
e_gw1.11.405.1	17246	17246
e_gw1.11.246.1	17250	17250
e_gw1.11.166.1	17252	17252
e_gw1.12.59.1	17258	17258
e_gw1.12.254.1	17262	17262
e_gw1.12.421.1	17284	17284
gw1.10.65.1	1729	1729
e_gw1.12.218.1	17300	17300
e_gw1.12.384.1	17307	17307
e_gw1.12.206.1	17318	17318
e_gw1.12.401.1	17327	17327
e_gw1.12.193.1	17342	17342
e_gw1.12.151.1	17363	17363
e_gw1.12.162.1	17365	17365
e_gw1.12.294.1	17367	17367
