Gene Name	Gene Start (bp)	Gene End (bp)	Chromosome Name	Strand
Genemark1.1304_g	2929102	2930329	scaffold_2	1
e_gw1.11.186.1	143246	146294	scaffold_11	1
fgenesh1_pg.7_#_53	381992	384332	scaffold_7	1
estExt_Genemark1.C_140200	1112537	1116371	scaffold_14	1
Genemark1.2146_g	862489	863157	scaffold_4	1
fgenesh1_pg.12_#_174	1133458	1136395	scaffold_12	-1
fgenesh1_kg.12_#_54_#_1507_1_CBOZ_CBPA	1013999	1015457	scaffold_12	1
fgenesh1_pg.16_#_129	885315	887515	scaffold_16	-1
fgenesh1_pg.2_#_254	1831435	1835100	scaffold_2	1
Genemark1.1992_g	2852955	2853718	scaffold_3	-1
e_gw1.1.753.1	2155340	2155884	scaffold_1	-1
Genemark1.3883_g	1211389	1213402	scaffold_7	-1
e_gw1.2.378.1	2280925	2283372	scaffold_2	1
Genemark1.5726_g	936185	942505	scaffold_12	1
Genemark1.4863_g	203651	206704	scaffold_10	-1
fgenesh1_kg.1_#_32_#_2470_1_CBOZ_CBPA	689086	690060	scaffold_1	1
Genemark1.8279_g	215919	218339	scaffold_22	1
Genemark1.4066_g	2150597	2152302	scaffold_7	1
fgenesh1_kg.5_#_83_#_0_0_CBOZ7351.b1_CBOZ_CBPA	1622254	1623005	scaffold_5	-1
Genemark1.5581_g	168687	169291	scaffold_12	1
e_gw1.10.126.1	1675809	1678534	scaffold_10	1
Genemark1.582_g	3071129	3071769	scaffold_1	1
fgenesh1_kg.19_#_19_#_1919_1_CBOZ_CBPA	296138	297035	scaffold_19	-1
fgenesh1_pg.7_#_218	1456805	1457469	scaffold_7	-1
estExt_fgenesh1_pg.C_100144	1031728	1034726	scaffold_10	1
Genemark1.4648_g	1023828	1024879	scaffold_9	1
estExt_Genemark1.C_60415	2082216	2085843	scaffold_6	-1
fgenesh1_pm.7_#_122	1281617	1283561	scaffold_7	-1
Genemark1.7335_g	216476	221759	scaffold_18	1
estExt_Genewise1.C_30571	2554696	2556315	scaffold_3	-1
fgenesh1_pg.19_#_41	308375	313457	scaffold_19	-1
estExt_Genewise1Plus.C_20339	1797949	1801555	scaffold_2	-1
Genemark1.8345_g	561253	562721	scaffold_22	1
estExt_Genewise1Plus.C_250027	200699	208392	scaffold_25	-1
fgenesh1_pg.20_#_21	122143	127078	scaffold_20	-1
estExt_Genewise1.C_100052	484088	490836	scaffold_10	1
e_gw1.3.76.1	1653139	1656921	scaffold_3	1
e_gw1.11.352.1	644232	648750	scaffold_11	1
estExt_fgenesh1_pg.C_10195	1380377	1383234	scaffold_1	-1
Genemark1.5776_g	1163628	1172203	scaffold_12	-1
fgenesh1_pg.9_#_56	411433	413330	scaffold_9	1
estExt_Genemark1.C_110172	988542	992310	scaffold_11	-1
e_gw1.13.253.1	1084174	1085005	scaffold_13	-1
estExt_Genemark1.C_120179	946764	949484	scaffold_12	1
estExt_fgenesh1_pm.C_260005	79476	81788	scaffold_26	1
Genemark1.1835_g	1998871	2001084	scaffold_3	-1
fgenesh1_kg.13_#_91_#_18_1_CBOZ_CBPA	1638702	1640193	scaffold_13	1
fgenesh1_kg.10_#_62_#_369_1_CBOZ_CBPA	1364077	1365497	scaffold_10	1
estExt_Genewise1Plus.C_40381	1706728	1709155	scaffold_4	1
e_gw1.4.725.1	1575804	1577000	scaffold_4	-1
estExt_Genemark1.C_10125	678603	687822	scaffold_1	1
estExt_Genewise1.C_150142	854763	857564	scaffold_15	1
estExt_fgenesh1_pg.C_130125	866372	868433	scaffold_13	1
estExt_fgenesh1_pg.C_120023	147057	154844	scaffold_12	1
estExt_fgenesh1_pm.C_180053	666611	667586	scaffold_18	-1
estExt_fgenesh1_pm.C_10057	1008992	1011582	scaffold_1	-1
estExt_Genemark1.C_260013	91654	97042	scaffold_26	-1
estExt_fgenesh1_pg.C_30058	428257	430288	scaffold_3	-1
Genemark1.1590_g	740359	742152	scaffold_3	-1
Genemark1.5600_g	249703	251912	scaffold_12	-1
estExt_fgenesh1_pm.C_80109	1553613	1565065	scaffold_8	-1
Genemark1.2063_g	280865	282019	scaffold_4	1
fgenesh1_kg.4_#_4_#_4267_1_CBOZ_CBPA	39401	40629	scaffold_4	1
estExt_Genewise1.C_120240	1416675	1419778	scaffold_12	-1
fgenesh1_pg.3_#_380	2802186	2807207	scaffold_3	1
Genemark1.5601_g	251986	260526	scaffold_12	1
estExt_Genewise1Plus.C_30307	1553851	1556563	scaffold_3	-1
estExt_fgenesh1_pg.C_90118	840007	850213	scaffold_9	-1
estExt_Genewise1Plus.C_70374	2054228	2058992	scaffold_7	-1
estExt_fgenesh1_pm.C_50001	15749	17634	scaffold_5	1
Genemark1.2654_g	356136	357472	scaffold_5	1
e_gw1.1.774.1	1410090	1411024	scaffold_1	1
fgenesh1_pm.5_#_141	1646891	1647501	scaffold_5	1
fgenesh1_pg.1_#_538	3731961	3740810	scaffold_1	1
fgenesh1_kg.2_#_143_#_2028_1_CBOZ_CBPA	2510086	2512751	scaffold_2	-1
estExt_Genewise1Plus.C_90156	958019	959638	scaffold_9	1
Genemark1.8378_g	757368	758885	scaffold_22	1
estExt_fgenesh1_pg.C_160003	8538	11116	scaffold_16	1
estExt_Genemark1.C_50522	2785139	2794757	scaffold_5	1
estExt_fgenesh1_pg.C_100274	1799741	1801985	scaffold_10	1
fgenesh1_kg.1_#_91_#_1001_1_CBOZ_CBPA	1996514	1998578	scaffold_1	-1
estExt_fgenesh1_pm.C_240003	56429	61673	scaffold_24	1
Genemark1.4958_g	751913	754449	scaffold_10	1
estExt_Genemark1.C_10673	3615643	3620037	scaffold_1	1
e_gw1.10.450.1	1576895	1577875	scaffold_10	-1
estExt_fgenesh1_pg.C_60225	1476188	1482394	scaffold_6	1
fgenesh1_pg.7_#_354	2455247	2465450	scaffold_7	1
estExt_Genewise1Plus.C_150150	870038	872234	scaffold_15	1
fgenesh1_pg.17_#_45	355457	358317	scaffold_17	1
fgenesh1_pg.1_#_29	178912	193705	scaffold_1	-1
e_gw1.25.91.1	233435	234188	scaffold_25	-1
fgenesh1_pg.5_#_289	2081373	2087716	scaffold_5	1
fgenesh1_pg.11_#_52	452031	453967	scaffold_11	-1
estExt_Genemark1.C_10335	1876924	1880855	scaffold_1	1
Genemark1.8003_g	1060585	1061385	scaffold_20	-1
e_gw1.1.134.1	2837025	2840961	scaffold_1	1
estExt_fgenesh1_pm.C_30170	1825241	1830359	scaffold_3	1
fgenesh1_pm.25_#_36	508960	511295	scaffold_25	1
Genemark1.2894_g	1544855	1549932	scaffold_5	-1
fgenesh1_pg.8_#_120	957847	959094	scaffold_8	-1
Genemark1.6261_g	228057	230813	scaffold_14	-1
estExt_fgenesh1_pg.C_50383	2843269	2845110	scaffold_5	1
e_gw1.7.325.1	861465	862487	scaffold_7	-1
estExt_Genemark1.C_20135	853529	857479	scaffold_2	-1
Genemark1.4497_g	217674	221072	scaffold_9	1
estExt_fgenesh1_pm.C_70187	2145446	2147060	scaffold_7	-1
Genemark1.1889_g	2293694	2301929	scaffold_3	1
fgenesh1_kg.24_#_18_#_1780_1_CBOZ_CBPA	366162	367044	scaffold_24	-1
e_gw1.10.386.1	1493577	1495011	scaffold_10	-1
Genemark1.7868_g	373617	382336	scaffold_20	1
e_gw1.8.96.1	1301494	1305160	scaffold_8	-1
estExt_Genewise1.C_220179	944797	947876	scaffold_22	1
fgenesh1_pm.12_#_31	529201	532500	scaffold_12	-1
estExt_Genemark1.C_40487	2560910	2569836	scaffold_4	-1
Genemark1.7319_g	103676	114707	scaffold_18	-1
fgenesh1_kg.7_#_45_#_2648_1_CBOZ_CBPA	953271	953921	scaffold_7	1
fgenesh1_pg.15_#_39	308211	309116	scaffold_15	-1
gw1.25.98.1	333793	333960	scaffold_25	-1
estExt_fgenesh1_pm.C_10027	417086	419980	scaffold_1	-1
Genemark1.4296_g	1037004	1040751	scaffold_8	-1
e_gw1.10.367.1	664493	667773	scaffold_10	-1
estExt_fgenesh1_pm.C_160078	943743	945271	scaffold_16	1
estExt_fgenesh1_pm.C_210073	1052311	1054515	scaffold_21	1
estExt_Genewise1Plus.C_140077	535463	543727	scaffold_14	-1
e_gw1.7.56.1	473822	479850	scaffold_7	-1
estExt_fgenesh1_pg.C_90195	1278122	1287543	scaffold_9	-1
Genemark1.4852_g	138004	138538	scaffold_10	1
estExt_Genemark1.C_240089	609294	610852	scaffold_24	-1
estExt_fgenesh1_pg.C_30028	222019	226215	scaffold_3	-1
fgenesh1_pg.10_#_263	1715098	1717337	scaffold_10	-1
Genemark1.6966_g	911639	912607	scaffold_16	1
fgenesh1_kg.17_#_7_#_3170_1_CBOZ_CBPA	199225	200894	scaffold_17	-1
fgenesh1_pm.3_#_128	1466786	1476618	scaffold_3	1
estExt_fgenesh1_pg.C_50375	2759241	2767158	scaffold_5	-1
estExt_fgenesh1_pg.C_240056	566221	568256	scaffold_24	-1
estExt_fgenesh1_pg.C_40396	2751085	2754225	scaffold_4	-1
Genemark1.7686_g	678634	680064	scaffold_19	1
Genemark1.4179_g	355989	360236	scaffold_8	-1
estExt_fgenesh1_pm.C_10038	591923	593230	scaffold_1	1
fgenesh1_pg.7_#_93	645025	646483	scaffold_7	-1
fgenesh1_kg.1_#_49_#_2587_1_CBOZ_CBPA	1082987	1083785	scaffold_1	1
estExt_fgenesh1_pg.C_90281	1949871	1957199	scaffold_9	1
Genemark1.938_g	1099557	1105427	scaffold_2	-1
e_gw1.7.158.1	1923442	1927318	scaffold_7	-1
fgenesh1_kg.16_#_43_#_3826_1_CBOZ_CBPA	787605	790212	scaffold_16	1
Genemark1.479_g	2566509	2568074	scaffold_1	1
fgenesh1_pg.11_#_208	1416961	1424475	scaffold_11	-1
Genemark1.6047_g	645076	649729	scaffold_13	1
estExt_fgenesh1_pm.C_140150	1543842	1545189	scaffold_14	-1
e_gw1.3.555.1	2657050	2657559	scaffold_3	-1
estExt_Genemark1.C_10713	3830169	3838153	scaffold_1	1
e_gw1.4.842.1	2981730	2981897	scaffold_4	1
gw1.12.454.1	1553509	1553670	scaffold_12	1
Genemark1.4895_g	418698	428082	scaffold_10	-1
fgenesh1_pm.11_#_38	657774	660419	scaffold_11	-1
fgenesh1_pm.3_#_256	2877512	2877806	scaffold_3	1
estExt_fgenesh1_pg.C_220108	829115	837440	scaffold_22	1
fgenesh1_pg.1_#_577	4007555	4009838	scaffold_1	1
fgenesh1_pg.4_#_45	379132	387813	scaffold_4	1
Genemark1.1948_g	2592390	2593750	scaffold_3	-1
Genemark1.5631_g	416000	419871	scaffold_12	-1
Genemark1.1885_g	2259732	2277255	scaffold_3	1
Genemark1.8745_g	199939	200248	scaffold_25	1
Genemark1.546_g	2862905	2866489	scaffold_1	1
estExt_Genewise1.C_50227	1287745	1290408	scaffold_5	1
estExt_fgenesh1_pg.C_120114	760395	764896	scaffold_12	1
e_gw1.14.139.1	526798	530002	scaffold_14	1
e_gw1.2.667.1	423932	425128	scaffold_2	-1
e_gw1.30.2.1	8774	15574	scaffold_30	-1
e_gw1.10.410.1	582985	584042	scaffold_10	-1
estExt_Genewise1.C_240041	445581	447200	scaffold_24	-1
estExt_fgenesh1_pg.C_70189	1319992	1330464	scaffold_7	1
fgenesh1_pg.2_#_371	2588628	2589533	scaffold_2	-1
e_gw1.4.705.1	357599	359404	scaffold_4	-1
estExt_Genewise1Plus.C_50117	783704	789092	scaffold_5	-1
estExt_Genemark1.C_110039	272252	282334	scaffold_11	1
estExt_Genewise1Plus.C_20043	173505	177355	scaffold_2	-1
fgenesh1_pm.6_#_125	1417946	1423769	scaffold_6	-1
estExt_fgenesh1_pg.C_50301	2176820	2188576	scaffold_5	-1
estExt_fgenesh1_pm.C_240002	44307	45717	scaffold_24	1
Genemark1.1111_g	1966647	1969470	scaffold_2	-1
fgenesh1_kg.19_#_26_#_4064_1_CBOZ_CBPA	423114	424842	scaffold_19	-1
fgenesh1_pg.1_#_346	2428262	2429210	scaffold_1	-1
fgenesh1_pg.9_#_26	222684	228270	scaffold_9	-1
estExt_fgenesh1_pg.C_160132	905620	910549	scaffold_16	-1
estExt_fgenesh1_pg.C_190087	676248	678136	scaffold_19	-1
estExt_fgenesh1_pg.C_190127	985737	993035	scaffold_19	1
estExt_fgenesh1_pm.C_130052	663580	665465	scaffold_13	1
estExt_Genewise1.C_190188	1002301	1007953	scaffold_19	-1
Genemark1.8438_g	129806	133806	scaffold_23	-1
estExt_fgenesh1_pg.C_80166	1275225	1277959	scaffold_8	-1
e_gw1.1.115.1	2991606	2995904	scaffold_1	1
e_gw1.2.463.1	2226193	2228427	scaffold_2	-1
estExt_fgenesh1_pg.C_70286	1959550	1964944	scaffold_7	-1
fgenesh1_kg.10_#_57_#_989_1_CBOZ_CBPA	1330134	1332398	scaffold_10	-1
estExt_Genemark1.C_150243	1342170	1344348	scaffold_15	-1
e_gw1.5.60.1	744584	750628	scaffold_5	1
estExt_fgenesh1_pm.C_150101	1332981	1336750	scaffold_15	1
fgenesh1_kg.8_#_73_#_2403_1_CBOZ_CBPA	1125533	1126499	scaffold_8	1
Genemark1.7526_g	1178366	1179057	scaffold_18	1
Genemark1.3931_g	1416033	1416397	scaffold_7	-1
Genemark1.128_g	697121	702314	scaffold_1	-1
e_gw1.16.245.1	1067243	1068793	scaffold_16	-1
e_gw1.1.602.1	2866912	2869000	scaffold_1	-1
estExt_Genemark1.C_140118	668838	671782	scaffold_14	1
estExt_Genemark1.C_10578	3048770	3053993	scaffold_1	1
Genemark1.1961_g	2661357	2662947	scaffold_3	1
estExt_Genewise1Plus.C_170043	252739	257044	scaffold_17	1
Genemark1.1642_g	1025599	1026887	scaffold_3	1
fgenesh1_pm.5_#_21	313783	317005	scaffold_5	-1
estExt_fgenesh1_pg.C_100119	907842	910555	scaffold_10	1
Genemark1.7711_g	822053	823155	scaffold_19	1
estExt_Genewise1.C_50291	1481096	1486486	scaffold_5	-1
e_gw1.11.414.1	774187	774789	scaffold_11	1
fgenesh1_pg.6_#_355	2267854	2268900	scaffold_6	1
Genemark1.3112_g	2782726	2784472	scaffold_5	1
e_gw1.6.130.1	2368831	2371782	scaffold_6	-1
estExt_fgenesh1_pm.C_60230	2652734	2660049	scaffold_6	1
fgenesh1_pg.22_#_18	105714	108789	scaffold_22	1
fgenesh1_pg.4_#_251	1802946	1804154	scaffold_4	1
estExt_fgenesh1_pm.C_130035	499504	505115	scaffold_13	-1
estExt_fgenesh1_pg.C_130075	555002	556446	scaffold_13	1
estExt_fgenesh1_pm.C_150042	633751	635107	scaffold_15	-1
e_gw1.10.474.1	1908896	1909847	scaffold_10	-1
e_gw1.19.49.1	318627	325480	scaffold_19	1
fgenesh1_pg.4_#_304	2086596	2088133	scaffold_4	-1
e_gw1.1.72.1	977897	986558	scaffold_1	1
fgenesh1_pg.12_#_196	1298105	1303279	scaffold_12	1
estExt_fgenesh1_pm.C_60189	2017736	2020447	scaffold_6	-1
estExt_fgenesh1_pg.C_240007	50415	56121	scaffold_24	1
estExt_Genemark1.C_40442	2353457	2356273	scaffold_4	-1
estExt_Genewise1Plus.C_150122	708900	710877	scaffold_15	-1
estExt_Genewise1Plus.C_100269	1382479	1383927	scaffold_10	1
fgenesh1_pg.17_#_130	1154553	1158943	scaffold_17	-1
estExt_Genewise1Plus.C_20135	638731	644595	scaffold_2	1
estExt_Genemark1.C_180144	781214	782510	scaffold_18	-1
estExt_Genemark1.C_70164	896543	926335	scaffold_7	-1
gw1.16.356.1	989056	989981	scaffold_16	-1
Genemark1.211_g	1197844	1200303	scaffold_1	-1
fgenesh1_kg.6_#_76_#_4360_1_CBOZ_CBPA	1143440	1145214	scaffold_6	1
Genemark1.616_g	3265672	3266843	scaffold_1	1
estExt_Genewise1.C_20737	3554319	3558834	scaffold_2	-1
e_gw1.3.23.1	496517	504531	scaffold_3	-1
estExt_Genewise1.C_220111	607643	611770	scaffold_22	-1
fgenesh1_pm.22_#_61	880811	881026	scaffold_22	1
Genemark1.7761_g	1075688	1076138	scaffold_19	1
fgenesh1_kg.14_#_15_#_353_7_CBOZ_CBPA	444536	445720	scaffold_14	-1
fgenesh1_kg.7_#_6_#_1800_1_CBOZ_CBPA	102507	103688	scaffold_7	-1
Genemark1.3235_g	539407	541932	scaffold_6	-1
fgenesh1_pm.25_#_21	366304	374380	scaffold_25	-1
estExt_Genewise1.C_250106	548257	550283	scaffold_25	-1
Genemark1.3358_g	1157449	1157887	scaffold_6	1
Genemark1.202_g	1151360	1154661	scaffold_1	1
fgenesh1_kg.4_#_115_#_3682_0_CBOZ3624.g1_CBOZ_CBPA	2186126	2186444	scaffold_4	1
fgenesh1_kg.6_#_105_#_1001_1_CBOZ_CBPA	1470709	1472773	scaffold_6	-1
estExt_fgenesh1_pg.C_40188	1452753	1455457	scaffold_4	1
Genemark1.4796_g	1760328	1761091	scaffold_9	1
fgenesh1_pg.19_#_55	401903	403630	scaffold_19	1
Genemark1.296_g	1638182	1641293	scaffold_1	-1
estExt_fgenesh1_pg.C_100022	184560	196134	scaffold_10	-1
Genemark1.5501_g	1619986	1624602	scaffold_11	1
estExt_fgenesh1_pg.C_10554	3902582	3909357	scaffold_1	1
estExt_fgenesh1_pg.C_190050	396100	401030	scaffold_19	-1
fgenesh1_pm.8_#_19	313931	318428	scaffold_8	1
estExt_fgenesh1_pm.C_150034	518780	521112	scaffold_15	1
fgenesh1_pm.2_#_175	1941589	1946379	scaffold_2	1
estExt_fgenesh1_pg.C_240001	6148	8388	scaffold_24	1
estExt_fgenesh1_pg.C_20380	2692741	2694242	scaffold_2	-1
estExt_Genewise1.C_120309	1643644	1644879	scaffold_12	-1
Genemark1.1733_g	1464923	1465775	scaffold_3	1
e_gw1.2.603.1	1331185	1332360	scaffold_2	1
Genemark1.6410_g	1045825	1047312	scaffold_14	-1
estExt_fgenesh1_pm.C_90099	1167160	1173587	scaffold_9	1
fgenesh1_pg.22_#_34	260173	263187	scaffold_22	1
estExt_fgenesh1_pg.C_10141	1035773	1039232	scaffold_1	-1
estExt_fgenesh1_pm.C_80034	614021	615469	scaffold_8	-1
Genemark1.2730_g	740879	743601	scaffold_5	1
estExt_Genewise1Plus.C_190225	1113404	1115366	scaffold_19	1
fgenesh1_pg.16_#_13	112088	113556	scaffold_16	1
estExt_fgenesh1_pg.C_180168	1092765	1097039	scaffold_18	1
estExt_Genemark1.C_140109	627715	637098	scaffold_14	1
e_gw1.4.253.1	2125952	2129528	scaffold_4	-1
fgenesh1_pm.12_#_124	1567032	1568896	scaffold_12	-1
Genemark1.2015_g	3007062	3007874	scaffold_3	1
Genemark1.3270_g	693730	697147	scaffold_6	-1
e_gw1.2.390.1	2542846	2545471	scaffold_2	-1
fgenesh1_pm.19_#_53	667430	670885	scaffold_19	-1
fgenesh1_pg.15_#_187	1303570	1309869	scaffold_15	-1
fgenesh1_pg.4_#_172	1286100	1287983	scaffold_4	1
e_gw1.24.98.1	704547	707332	scaffold_24	-1
estExt_fgenesh1_pm.C_250004	39575	43398	scaffold_25	-1
fgenesh1_pg.22_#_39	300457	306121	scaffold_22	1
fgenesh1_pg.7_#_167	1136598	1144951	scaffold_7	1
estExt_Genemark1.C_50121	655545	664215	scaffold_5	1
estExt_Genewise1Plus.C_140330	1518295	1524601	scaffold_14	-1
estExt_fgenesh1_pm.C_40297	2957540	2958848	scaffold_4	1
estExt_fgenesh1_pm.C_10226	2797516	2799606	scaffold_1	1
Genemark1.3099_g	2717182	2718527	scaffold_5	1
Genemark1.3684_g	211319	215875	scaffold_7	1
estExt_Genemark1.C_110124	734343	738126	scaffold_11	-1
estExt_fgenesh1_pg.C_10338	2425768	2428034	scaffold_1	1
estExt_fgenesh1_pm.C_20291	3366653	3367871	scaffold_2	1
estExt_fgenesh1_pm.C_150011	134694	137114	scaffold_15	1
estExt_fgenesh1_pm.C_10039	595273	596509	scaffold_1	1
fgenesh1_pg.2_#_133	1007005	1009660	scaffold_2	-1
estExt_Genemark1.C_150059	346398	352363	scaffold_15	1
fgenesh1_pg.3_#_116	815455	818084	scaffold_3	-1
estExt_fgenesh1_pm.C_130014	169704	174161	scaffold_13	-1
